meshnodes,in-msg,in-byte,out-msg,out-byte
4.000000,459.000000,128388.000000,460.000000,138152.000000
8.000000,2442.000000,692548.000000,2446.000000,721220.000000
12.000000,5994.000000,1704436.000000,6000.000000,1758044.000000
16.000000,11114.000000,3164324.000000,11120.000000,3248620.000000
20.000000,17802.000000,5072212.000000,17812.000000,5194508.000000
24.000000,26058.000000,7428100.000000,26070.000000,7594148.000000
28.000000,35882.000000,10231988.000000,35896.000000,10448060.000000
32.000000,47274.000000,13483876.000000,47286.000000,13755204.000000
36.000000,60234.000000,17183764.000000,60248.000000,17517660.000000
40.000000,74762.000000,21331652.000000,74778.000000,21734388.000000
44.000000,90858.000000,25927540.000000,90876.000000,26405388.000000
